"","id","rtl","sex","age","year","bm","bs","bci","dens","densmin1","densmin2","densa","mort","juvex","brood","emi","eri","cci","tti","tli","shi","mii","mbi","mli","gli","lai","ali","oci","parrich","endr","ectr","totr","emp","erp","ccp","ttp","tlp","shp","mip","mbp","mlp","glp","lap","alp","ocp","cocp","help","licp","mitp","endp","ectp","totp","emer","hel","tlsh","mimb","glla","lic","emd","erd","ccd","ttd","gld","lad","ald","tld","shd","mid","mbd","ocd","MASL","WeightNE","Wing","Head","SternL","SternLCorL","TotalFat","LDBM","DigestivTrLength..SI.LI.2xceca.","Gut...rectum..SI.","Caecum","ceca.weight","ceca.Gut.length","L.combination","BCI...4","gut.length","weight","ind.gut.length.body.weight","Diet.Simpson","Diet.Shannon","Diet.Richness","Diet.Centroid_Distance","BCI...12","TarsMT","PC1","BC.index","Standardized.BC.index","Clostridia.UCG.014.Relative.Abundance","Shuttleworthia.Relative.Abundance","Actinomyces.Relative.Abundance","Colidextribacter.Relative.Abundance","Shannon.Diversity.Index"
"570","13-193",0.808440054356598,"female","adult","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283,436,187,51.7,82.47,107,7.31,110.96,168.5,87,35,8.03,20.77,55.54834523,-5.210540771,98.5,435.93,0.226,0.612555943,1.154079668,6,0.363324116,-5.210540771,59,-2.37567,-5.210541,-0.522292,0.0743320392783741,0.16716145238639,0.100593742863667,0.222082667275634,3.11488510798536
"571","13-233",0.562883693145355,"female","juvenile","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,492,191,52.27,83.77,108.83,8.89,122.54,191,92,44,8.95,23.04,66.44346662,12.38156128,103,491.61,0.21,0.486381198,0.834436263,4,0.571710798,12.38156128,64,-0.41033,12.381561,0.146693,0.538609467455621,0.0246055226824458,0.139595660749507,0.0517751479289941,2.75978799852094
"572","14-016",0.4733262507542,"female","juvenile","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,591,455,191,50.83,78.88,103.08,3.75,111.77,184.5,97,38,8.35,20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,-0.42104,-24.020782,-0.688967,0.710700967069085,0.00398204917514696,0.202326022375324,0.00790089122052968,2.59536850641594
"573","14-022",0.0773121495303723,"male","juvenile","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,532,203,53.47,89.6,114.61,2.57,124.56,203.5,107,42,7.9,20.64,56.28035175,16.45452881,119.5,531.83,0.225,0.672657845,1.25472079,7,0.603590839,16.45452881,65,1.45487,16.454529,1.146053,0.320807425430297,0.0209065513201766,0.106244931062449,0.21122825989006,2.84697151209431
"574","14-024",0.304061314970206,"male","juvenile","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,482,198,54.15,84.68,111.58,3.17,114.09,NA,NA,NA,NA,NA,6.546524458,-18.75918579,109.5,482.02,0.227,0.122359093,0.241747741,2,0.644835035,-18.75918579,63,0.7017,-18.759186,-0.450423,NA,NA,NA,NA,NA
"575","14-030",0.717056742389747,"female","juvenile","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,444,185,52.72,83.25,107.97,2.45,99.74,175.5,86,39,8.79,22.22,0.075714556,-6.583099365,97.5,443.89,0.22,0.335476394,0.598918993,5,0.573528958,-6.583099365,60,-1.89411,-6.583099,0.101601,0.545327179825284,0.00173067413878358,0.346876545244767,0.00815889236855118,2.28064456390668
"576","14-032",0.138963551398232,"female","juvenile","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,524,202,54.18,84.02,109.75,8.71,130.98,NA,NA,NA,NA,NA,5.986930617,19.27206421,106,523.93,0.202,0.222528314,0.456823273,3,0.683596339,19.27206421,64,0.90184,19.272064,1.273791,NA,NA,NA,NA,NA
"577","14-033",1.86304069952162,"male","juvenile","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414,474,198,55.67,85.97,112.27,1.67,117.07,166,85,35,7.38,21.08,0.194077056,-48.40206909,96,474.41,0.202,0.085608729,0.198070791,4,0.693839606,-48.40206909,65,1.8386,-48.402069,-1.794336,0.539800835207196,0.0209444265981368,0.25069065210408,0.0291680051397366,2.65285496316905
"578","14-037",0.177371225639988,"female","juvenile","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370,511,197,53.73,89.37,114.39,5.92,124.88,192.5,94,43,8.41,22.34,2.209306954,-16.60092163,106.5,511.04,0.208,0.525823389,1.000104977,10,0.372180587,-16.60092163,69,2.08777,-16.600922,-0.352575,0.156841783750764,0.119120342089188,0.0549786194257789,0.204795357361026,3.26569616111821
"579","14-074",0.40241907235153,"male","juvenile","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665,553,202,54.79,89.77,115.35,3.28,128.23,NA,NA,NA,NA,NA,3.070481507,29.1350708,114,552.61,0.206,0,0,1,0.484213307,29.1350708,65,1.8728,29.135071,1.720948,NA,NA,NA,NA,NA
"580","11-003",0.14132927862982,"male","adult","2011",535.11,1.27,19.59,4.28,6.11,8.12,1.98,0.92,0.89,4.83,10,0,0,0,1,0,0,0,0,1,0,0,1,4,238,765,1003,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,10,0,1,0,1,1,0.623,0.908,0.853,0.932,0.674,0.798,0.905,0.742,0.917,0.938,0.921,0.624,386,535,205,54.67,88.69,113.47,5.57,130.68,197,91,47,8.78,23.86,52.91122235,12.38665771,103,535.11,0.192,0.620164406,1.120250295,6,0.437584115,12.38665771,64,1.83402,12.386658,0.651955,0.282248658735713,0.113521499105824,0.0842080709120597,0.221988958867895,3.10381319318761
"581","11-009",0.189531829208512,"male","adult","2011",547.66,2.45,12.78,4.28,6.11,8.12,1.98,0.92,0.89,4.83,37,0,0,0,0,0,0,0,0,1,0,0,1,3,338,656.5,994.5,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,37,0,0,0,1,1,0.623,0.908,0.853,0.932,0.674,0.798,0.905,0.742,0.917,0.938,0.921,0.624,369,548,203,55.06,89.05,115.48,9.37,134.32,190.5,93.5,42.5,7.76,22.31,10.25791325,25.64373779,105.5,547.66,0.193,0.374924281,0.760139004,4,0.421460476,25.64373779,64,1.79753,25.643738,1.186345,0.104377405782831,0.106436308298272,0.0711664130337481,0.320025064900188,2.8807498073506
