id,Sex,Age,Latitude,Longitude,CoordPrec,CollYear,CollMonth,CollDay,WeightNE,Wing,Head,TarsMT,PC1,BC-index,Standardized BC-index,avg,,,,,,,,,,,,,
LM-06-025,F,J,65.58148,-16.76415,e,2006,10,4,460,189,51.5,62,-1.44414,0.806641,0.057140,,,,,,,,,,,,,,
LM-06-026,F,J,65.58148,-16.76415,e,2006,10,4,470,197,53.25,62,-0.01488,-16.892059,-0.706768,,,,,,,,,,,,,,
LM-06-035,F,J,66.05527,-17.3142,e,2006,10,3,459,192,51.9,61,-1.28131,-3.348938,-0.122222,,,,,,,,,,,,,,
LM-06-037,F,J,66.05665,-17.30951,e,2006,10,3,440,191,52.09,61,-1.30149,-21.957825,-0.925416,,,,,,,,,,,,,,
LM-06-039,F,J,66.04967,-17.3068,e,2006,10,3,503,193,53.53,64,0.26588,10.666870,0.482726,,,,,,,,,,,,,,
LM-06-045,F,J,66.05561,-17.31061,e,2006,10,3,422,186,50.07,61,-2.55389,-15.686554,-0.654736,,,,,,,,,,,,,,
LM-06-047,F,J,66.05561,-17.31061,e,2006,10,3,470,193,53.42,60,-0.87194,-0.282440,0.010134,,,,,,,,,,,,,,
LM-06-048,F,J,66.05941,-17.33215,e,2006,10,3,455,192,54.11,64,0.39690,-39.872375,-1.698640,,,,,,,,,,,,,,
LM-06-050,F,J,65.74896,-16.95101,e,2006,10,4,469,189,52.8,59,-1.76150,15.956940,0.711055,,,,,,,,,,,,,,
LM-06-059,F,J,65.75273,-16.94172,e,2006,10,4,492,196,53.16,65,0.67776,-8.315247,-0.336577,,,,,,,,,,,,,,
LM-06-060,F,J,65.75273,-16.94172,e,2006,10,4,482,188,52.83,62,-1.02233,14.632141,0.653874,,,,,,,,,,,,,,
LM-06-061,F,J,65.57912,-16.77613,e,2006,10,4,453,191,54,62,-0.28718,-28.615051,-1.212754,,,,,,,,,,,,,,
LM-06-062,F,J,65.57967,-16.74889,e,2006,10,4,461,188,52.07,60,-1.86458,9.954620,0.451984,,,,,,,,,,,,,,
LM-06-063,F,J,65.58512,-16.75136,e,2006,10,4,486,188,53.15,62,-0.89827,16.227753,0.722744,,,,,,,,,,,,,,
LM-06-064,F,J,65.58512,-16.75136,e,2006,10,4,474,189,50.19,60,-2.49962,35.261688,1.544283,,,,,,,,,,,,,,
LM-06-069,F,J,65.57967,-16.74889,e,2006,10,4,445,193,51.19,62,-1.18895,-19.138977,-0.803749,,,,,,,,,,,,,,
LM-06-071,F,J,66.01329,-17.13598,e,2006,10,2,444,187,51.62,60,-2.13289,-1.845490,-0.057331,,,,,,,,,,,,,,
LM-06-073,F,J,66.01329,-17.13598,e,2006,10,2,463,188,53.81,60,-1.18996,-1.119202,-0.025983,,,,,,,,,,,,,,
LM-06-075,F,J,66.01631,-17.10496,e,2006,10,2,457,192,54.25,59,-0.91778,-12.394073,-0.512627,,,,,,,,,,,,,,
LM-06-076,F,J,66.01959,-17.11952,e,2006,10,2,459,188,51.5,61,-1.81178,6.931396,0.321496,,,,,,,,,,,,,,
LM-06-078,F,J,66.03652,-17.27024,e,2006,10,2,481,194,53.61,62,-0.15684,-3.140869,-0.113241,,,,,,,,,,,,,,
LM-06-081,F,J,66.0521,-17.29026,n,2006,10,2,504,192,55.41,64,0.90092,-0.640167,-0.005307,,,,,,,,,,,,,,
LM-06-084,F,J,66.0521,-17.29026,n,2006,10,2,488,194,55.19,65,1.27711,-23.930634,-1.010566,,,,,,,,,,,,,,
LM-06-086,F,J,66.0521,-17.29026,n,2006,10,2,438,178,50.19,64,-2.43676,-1.956604,-0.062126,,,,,,,,,,,,,,
LM-06-087,F,J,66.0521,-17.29026,n,2006,10,2,432,187,51.61,62,-1.58918,-24.382416,-1.030065,,,,,,,,,,,,,,
LM-06-088,F,J,66.0521,-17.29026,n,2006,10,2,456,187,51.12,65,-0.95778,-12.618835,-0.522328,,,,,,,,,,,,,,
LM-06-094,F,J,65.98919,-17.29801,e,2006,10,2,463,192,53.34,63,-0.17542,-20.780762,-0.874611,,,,,,,,,,,,,,
LM-06-100,F,J,66.02343,-17.30757,e,2006,10,2,458,193,53.29,63,-0.10096,-27.223785,-1.152704,,,,,,,,,,,,,,
LM-06-103,F,J,65.58242,-16.75868,e,2006,10,4,463,188,52.1,62,-1.30536,1.117126,0.070541,,,,,,,,,,,,,,
LM-06-104,F,J,65.57979,-16.77473,e,2006,10,4,441,188,52.56,63,-0.85322,-29.645203,-1.257217,,,,,,,,,,,,,,
LM-06-105,F,J,65.57979,-16.77473,e,2006,10,4,436,185,51.24,61,-2.19412,-8.658875,-0.351409,,,,,,,,,,,,,,
LM-06-106,F,J,65.57979,-16.77473,e,2006,10,4,433,186,50.72,60,-2.57568,-4.264435,-0.161737,,,,,,,,,,,,,,
LM-06-112,F,J,65.58006,-16.72707,e,2006,10,5,471,188,51.21,62,-1.65042,15.804321,0.704468,,,,,,,,,,,,,,
LM-06-113,F,J,65.57754,-16.73263,e,2006,10,5,477,188,47.84,63,-2.68321,41.819489,1.827330,,,,,,,,,,,,,,
LM-06-116,F,J,65.57506,-16.73993,e,2006,10,5,483,195,53.64,64,0.49622,-13.797058,-0.573182,,,,,,,,,,,,,,
LM-06-118,F,J,65.57506,-16.73993,e,2006,10,5,438,192,50.79,60,-1.98546,-10.702698,-0.439624,,,,,,,,,,,,,,
LM-06-119,F,J,65.57748,-16.74169,e,2006,10,5,474,188,49.35,64,-1.82397,22.167755,0.979125,,,,,,,,,,,,,,
LM-06-122,F,J,65.75686,-16.95285,e,2006,10,4,444,188,49.97,59,-2.95256,14.039459,0.628293,,,,,,,,,,,,,,
LM-06-127,F,J,65.75686,-16.95285,e,2006,10,4,490,189,50.96,64,-1.10592,24.251953,1.069083,,,,,,,,,,,,,,
LM-06-129,F,J,65.75404,-16.89306,e,2006,10,4,435,190,,63,-0.49811,-42.527283,-1.813231,,,,,,,,,,,,,,
LM-06-132,F,J,65.7481,-16.95479,e,2006,10,5,440,186,50.73,61,-2.29801,-2.635590,-0.091433,,,,,,,,,,,,,,
LM-06-133,F,J,65.7481,-16.95479,e,2006,10,5,438,190,50.72,60,-2.20029,-6.409302,-0.254313,,,,,,,,,,,,,,
LM-06-134,F,J,65.7481,-16.95479,e,2006,10,5,493,193,50.65,64,-0.85072,22.296326,0.984674,,,,,,,,,,,,,,
LM-06-140,F,J,65.75916,-16.95191,e,2006,10,5,486,192,51.85,63,-0.75311,13.314636,0.597008,,,,,,,,,,,,,,
LM-06-141,F,J,65.7545,-16.94326,e,2006,10,5,487,196,51.75,62,-0.69029,13.547211,0.607047,,,,,,,,,,,,,,
LM-06-144,F,J,65.74421,-16.95937,e,2006,10,5,456,191,51.15,62,-1.39215,-4.200989,-0.158998,,,,,,,,,,,,,,
LM-06-145,F,J,65.63196,-17.17781,e,2006,10,5,455,194,52.55,62,-0.56782,-21.046326,-0.886074,,,,,,,,,,,,,,
LM-06-146,F,J,65.63196,-17.17781,e,2006,10,5,454,189,52.26,60,-1.69707,-0.131683,0.016641,,,,,,,,,,,,,,
LM-06-152,F,J,65.63196,-17.17781,e,2006,10,5,419,188,50.01,58,-3.21084,-6.075043,-0.239886,,,,,,,,,,,,,,
LM-06-153,F,J,65.63196,-17.17781,e,2006,10,5,431,188,51.03,60,-2.26779,-12.391113,-0.512499,,,,,,,,,,,,,,
LM-06-156,F,J,65.63031,-17.17773,e,2006,10,5,456,191,53.24,61,-0.85563,-14.678589,-0.611231,,,,,,,,,,,,,,
LM-06-157,F,J,65.62903,-17.17767,e,2006,10,5,416,183,49.47,63,-2.52047,-22.334290,-0.941665,,,,,,,,,,,,,,
LM-06-161,F,J,65.61842,-17.17497,e,2006,10,5,424,177,51.52,62,-2.56254,-13.799042,-0.573268,,,,,,,,,,,,,,
LM-06-171,F,J,65.58229,-16.72738,e,2006,10,5,473,182,,61,-1.79646,20.634521,0.912948,,,,,,,,,,,,,,
LM-06-172,F,J,65.58229,-16.72738,e,2006,10,5,467,185,,63,-0.96734,-1.433716,-0.039558,,,,,,,,,,,,,,
LM-06-174,F,J,65.58346,-16.73825,e,2006,10,5,443,193,52.75,60,-1.13171,-22.248260,-0.937951,,,,,,,,,,,,,,
LM-06-176,F,J,65.58375,-16.73989,e,2006,10,5,481,180,48.92,61,-3.56284,62.866486,2.735757,,,,,,,,,,,,,,
LM-06-177,F,J,65.58375,-16.73989,e,2006,10,5,433,190,,61,-1.04569,-34.125214,-1.450582,,,,,,,,,,,,,,
LM-06-178,F,J,65.58346,-16.73825,e,2006,10,5,462,193,51.21,62,-1.18119,-2.289246,-0.076484,,,,,,,,,,,,,,
LM-06-179,F,J,65.58346,-16.73825,e,2006,10,5,454,186,51.21,64,-1.29053,-8.170319,-0.330322,,,,,,,,,,,,,,
LM-06-181,F,J,65.58346,-16.73825,e,2006,10,5,491,190,53.5,62,-0.57488,14.960510,0.668047,,,,,,,,,,,,,,
LM-06-185,F,J,65.58414,-16.75233,e,2006,10,5,471,181,51.08,63,-2.08395,24.206085,1.067103,,,,,,,,,,,,,,
LM-06-186,F,J,65.58649,-16.74618,e,2006,10,5,429,187,49.91,63,-1.97450,-19.915161,-0.837251,,,,,,,,,,,,,,
LM-06-187,F,J,65.58649,-16.74618,e,2006,10,5,480,187,52.39,64,-0.73919,7.144806,0.330707,,,,,,,,,,,,,,
LM-06-188,F,J,65.58649,-16.74618,e,2006,10,5,466,186,53.91,62,-0.79130,-5.845245,-0.229967,,,,,,,,,,,,,,
LM-06-193,F,J,65.58028,-16.75815,e,2006,10,5,461,187,53.35,62,-0.91457,-8.456268,-0.342664,,,,,,,,,,,,,,
LM-06-196,F,J,65.5796,-16.76542,e,2006,10,5,469,193,50.71,62,-1.37505,8.617615,0.394276,,,,,,,,,,,,,,
LM-06-197,F,J,65.5796,-16.76542,e,2006,10,5,451,184,50.49,61,-2.57875,13.925110,0.623357,,,,,,,,,,,,,,
LM-06-198,F,J,65.5796,-16.76542,e,2006,10,5,444,185,48.07,62,-3.14936,17.853516,0.792915,,,,,,,,,,,,,,
LM-06-001,M,J,66.0521,-17.29026,n,2006,10,3,508,198,50.94,67,0.55232,10.115662,0.458935,,,,,,,,,,,,,,
LM-06-002,M,J,66.0521,-17.29026,n,2006,10,3,523,192,55.17,68,1.90305,-1.061035,-0.023472,,,,,,,,,,,,,,
LM-06-003,M,J,66.0521,-17.29026,n,2006,10,3,460,193,53.46,64,0.23874,-31.807159,-1.350531,,,,,,,,,,,,,,
LM-06-004,M,J,66.06048,-17.33663,e,2006,10,3,541,206,55.17,62,1.57413,23.313171,1.028563,,,,,,,,,,,,,,
LM-06-009,M,J,66.06128,-17.3398,e,2006,10,3,566,204,54.03,64,1.49204,49.904114,2.176277,,,,,,,,,,,,,,
LM-06-015,M,J,66.02227,-17.30472,e,2006,10,3,529,201,54.06,67,2.04351,2.216736,0.118003,,,,,,,,,,,,,,
LM-06-016,M,J,66.02227,-17.30472,e,2006,10,3,392,182,50.04,61,-2.94091,-38.186279,-1.625865,,,,,,,,,,,,,,
LM-06-018,M,J,66.02129,-17.30248,e,2006,10,3,434,184,53.86,61,-1.27217,-28.526062,-1.208913,,,,,,,,,,,,,,
LM-06-023,M,J,65.57912,-16.77613,e,2006,10,4,499,202,54.65,62,0.99714,-7.504852,-0.301599,,,,,,,,,,,,,,
LM-06-028,M,J,65.58306,-16.75505,e,2006,10,4,524,204,55.54,63,1.80369,1.864502,0.102800,,,,,,,,,,,,,,
LM-06-029,M,J,66.05466,-17.31021,e,2006,10,3,513,202,55.47,69,3.23161,-36.808350,-1.566392,,,,,,,,,,,,,,
LM-06-030,M,J,66.05466,-17.31021,e,2006,10,3,553,204,,64,1.08953,44.704620,1.951857,,,,,,,,,,,,,,
LM-06-034,M,J,66.05834,-17.33066,e,2006,10,3,520,203,53.87,64,1.33616,6.925049,0.321222,,,,,,,,,,,,,,
LM-06-036,M,J,66.05665,-17.30951,e,2006,10,3,511,194,57.29,65,2.09130,-16.709412,-0.698885,,,,,,,,,,,,,,
LM-06-040,M,J,66.05594,-17.31236,e,2006,10,3,505,196,53.7,63,0.33953,11.239441,0.507439,,,,,,,,,,,,,,
LM-06-041,M,J,66.05594,-17.31236,e,2006,10,3,461,196,53.62,66,1.12990,-48.077606,-2.052793,,,,,,,,,,,,,,
LM-06-042,M,J,66.06019,-17.33536,e,2006,10,3,497,189,51.87,66,-0.20552,13.802399,0.618061,,,,,,,,,,,,,,
LM-06-044,M,J,66.0521,-17.29026,n,2006,10,2,508,198,,64,0.52646,10.616943,0.480571,,,,,,,,,,,,,,
LM-06-046,M,J,66.05561,-17.31061,e,2006,10,3,434,187,50.49,62,-2.02342,-13.967072,-0.580520,,,,,,,,,,,,,,
LM-06-049,M,J,66.05556,-17.3104,e,2006,10,3,448,191,52.84,63,-0.46313,-30.205200,-1.281387,,,,,,,,,,,,,,
LM-06-051,M,J,65.74896,-16.95101,e,2006,10,4,510,196,54.31,64,0.84983,6.350037,0.296403,,,,,,,,,,,,,,
LM-06-053,M,J,65.75429,-16.94299,e,2006,10,4,493,196,52.96,63,0.05263,4.799591,0.229483,,,,,,,,,,,,,,
LM-06-056,M,J,65.75273,-16.94172,e,2006,10,4,509,189,,63,-0.59195,33.291412,1.459242,,,,,,,,,,,,,,
LM-06-058,M,J,65.75273,-16.94172,e,2006,10,4,503,202,53.21,63,0.71263,2.008850,0.109030,,,,,,,,,,,,,,
LM-06-066,M,J,65.58058,-16.75637,e,2006,10,4,503,196,54.54,62,0.39142,8.233978,0.377718,,,,,,,,,,,,,,
LM-06-068,M,J,65.58058,-16.75637,e,2006,10,4,515,199,53.66,64,0.87936,10.777802,0.487514,,,,,,,,,,,,,,
LM-06-072,M,J,66.01329,-17.13598,e,2006,10,2,466,195,,63,-0.02887,-20.620880,-0.867711,,,,,,,,,,,,,,
LM-06-074,M,J,66.01541,-17.11131,e,2006,10,2,459,,52.87,64,0.16569,-31.391449,-1.332588,,,,,,,,,,,,,,
LM-06-077,M,J,66.03652,-17.27024,e,2006,10,2,487,191,54.61,63,0.22312,-4.504456,-0.172096,,,,,,,,,,,,,,
LM-06-079,M,J,66.03652,-17.27024,e,2006,10,2,467,198,52.47,62,-0.22345,-15.850098,-0.661795,,,,,,,,,,,,,,
LM-06-082,M,J,66.0521,-17.29026,n,2006,10,2,516,199,54.8,64,1.32135,3.212158,0.160967,,,,,,,,,,,,,,
LM-06-083,M,J,66.0521,-17.29026,n,2006,10,2,554,198,56.44,68,2.95851,9.484253,0.431682,,,,,,,,,,,,,,
LM-06-085,M,J,66.0521,-17.29026,n,2006,10,2,498,201,54.1,65,1.51143,-18.471741,-0.774950,,,,,,,,,,,,,,
LM-06-090,M,J,66.0521,-17.29026,n,2006,10,2,538,201,55.11,66,2.17681,8.633423,0.394959,,,,,,,,,,,,,,
LM-06-091,M,J,66.00627,-17.26835,e,2006,10,2,536,195,54.95,64,1.00412,29.359985,1.289555,,,,,,,,,,,,,,
LM-06-093,M,J,66.03421,-17.26278,e,2006,10,3,432,187,51.9,64,-0.92916,-37.173492,-1.582152,,,,,,,,,,,,,,
LM-06-095,M,J,65.99082,-17.30008,e,2006,10,2,495,194,53.43,59,-1.04801,28.129730,1.236455,,,,,,,,,,,,,,
LM-06-096,M,J,65.99082,-17.30008,e,2006,10,2,529,202,53.92,62,0.71411,27.980164,1.229999,,,,,,,,,,,,,,
LM-06-099,M,J,66.02343,-17.30757,e,2006,10,2,466,184,54.39,64,-0.24531,-16.426453,-0.686672,,,,,,,,,,,,,,
LM-06-102,M,J,65.58242,-16.75868,e,2006,10,4,486,194,,63,-0.12272,1.197845,0.074025,,,,,,,,,,,,,,
LM-06-107,M,J,65.57979,-16.77473,e,2006,10,4,498,206,55.64,63,2.03015,-28.524292,-1.208836,,,,,,,,,,,,,,
LM-06-108,M,J,65.57979,-16.77473,e,2006,10,4,506,194,53.84,64,0.47991,9.518921,0.433178,,,,,,,,,,,,,,
LM-06-114,M,J,65.57754,-16.73263,e,2006,10,5,485,196,52.31,63,-0.19938,1.903473,0.104482,,,,,,,,,,,,,,
LM-06-115,M,J,65.57754,-16.73263,e,2006,10,5,532,204,56.12,,2.08943,4.326904,0.209081,,,,,,,,,,,,,,
LM-06-117,M,J,65.57506,-16.73993,e,2006,10,5,507,195,54,63,0.36200,12.804047,0.574970,,,,,,,,,,,,,,
LM-06-120,M,J,65.57748,-16.74169,e,2006,10,5,526,202,52.3,63,0.35982,31.846313,1.396869,,,,,,,,,,,,,,
LM-06-121,M,J,65.75273,-16.94172,e,2006,10,4,488,197,54.01,62,0.27978,-4.602478,-0.176327,,,,,,,,,,,,,,
LM-06-123,M,J,65.75686,-16.95285,e,2006,10,4,519,198,52.84,63,0.19380,28.063782,1.233608,,,,,,,,,,,,,,
LM-06-124,M,J,65.75686,-16.95285,e,2006,10,4,498,196,55.38,64,1.26468,-13.689636,-0.568546,,,,,,,,,,,,,,
LM-06-125,M,J,65.75686,-16.95285,e,2006,10,4,507,199,54.06,61,0.21306,15.690430,0.699552,,,,,,,,,,,,,,
LM-06-126,M,J,65.75686,-16.95285,e,2006,10,4,502,197,54.18,62,0.34569,8.120178,0.372806,,,,,,,,,,,,,,
LM-06-128,M,J,65.75686,-16.95285,e,2006,10,4,478,195,53.99,63,0.35812,-16.120819,-0.673480,,,,,,,,,,,,,,
LM-06-137,M,J,65.75916,-16.95191,e,2006,10,5,502,203,54.97,65,2.03643,-24.206055,-1.022453,,,,,,,,,,,,,,
LM-06-138,M,J,65.75916,-16.95191,e,2006,10,5,478,200,55.15,62,1.00330,-28.624268,-1.213152,,,,,,,,,,,,,,
LM-06-139,M,J,65.75916,-16.95191,e,2006,10,5,547,202,54.13,66,1.89070,22.968079,1.013668,,,,,,,,,,,,,,
LM-06-143,M,J,65.74763,-16.94951,e,2006,10,5,487,196,52.81,64,0.26827,-5.689392,-0.223240,,,,,,,,,,,,,,
LM-06-147,M,J,65.63196,-17.17781,e,2006,10,5,486,197,51.61,,-0.31606,4.764709,0.227978,,,,,,,,,,,,,,
LM-06-148,M,J,65.63196,-17.17781,e,2006,10,5,523,193,53.36,62,-0.34762,42.146301,1.841436,,,,,,,,,,,,,,
LM-06-149,M,J,65.63196,-17.17781,e,2006,10,5,498,196,52.07,62,-0.56622,21.372803,0.944813,,,,,,,,,,,,,,
LM-06-150,M,J,65.63196,-17.17781,e,2006,10,5,549,199,54.2,64,1.08872,40.270386,1.760468,,,,,,,,,,,,,,
LM-06-151,M,J,65.63196,-17.17781,e,2006,10,5,502,192,53.49,62,-0.39106,22.618225,0.998568,,,,,,,,,,,,,,
LM-06-154,M,J,65.63369,-17.17526,e,2006,10,5,511,201,52.82,64,0.74137,9.451874,0.430284,,,,,,,,,,,,,,
LM-06-155,M,J,65.63369,-17.17526,e,2006,10,5,530,200,,64,0.71415,29.079468,1.277447,,,,,,,,,,,,,,
LM-06-162,M,J,65.61842,-17.17497,e,2006,10,5,487,201,53.38,63,0.68470,-13.269775,-0.550424,,,,,,,,,,,,,,
LM-06-173,M,J,65.58229,-16.72738,e,2006,10,5,461,196,51.17,66,0.18001,-29.669006,-1.258244,,,,,,,,,,,,,,
LM-06-183,M,J,65.58404,-16.74208,e,2006,10,5,488,202,54.58,65,1.79138,-33.897034,-1.440734,,,,,,,,,,,,,,
LM-06-191,M,J,65.58414,-16.75233,e,2006,10,5,500,201,53.91,63,0.89018,-4.872040,-0.187962,,,,,,,,,,,,,,
LM-06-192,M,J,65.58649,-16.74618,e,2006,10,5,510,196,53.69,63,0.33566,16.314575,0.726491,,,,,,,,,,,,,,
LM-06-200,M,J,65.5796,-16.76542,e,2006,10,5,554,201,54.53,65,1.67815,34.417358,1.507840,,,,,,,,,,,,,,
LM-06-013,,J,66.02227,-17.30472,e,2006,10,3,467,194,51.81,62,-0.85472,-3.616180,-0.133757,,,,,,,,,,,,,,
LM-06-020,,J,66.02129,-17.30248,e,2006,10,3,401,188,51.12,62,-1.68532,-53.519440,-2.287673,,,,,,,,,,,,,,
LM-06-052,,J,65.75056,-16.95195,e,2006,10,4,429,188,53.9,60,-1.15507,-35.795441,-1.522673,,,,,,,,,,,,,,
LM-06-054,,J,65.75429,-16.94299,e,2006,10,4,468,187,51.24,61,-2.00643,19.703674,0.872771,,,,,,,,,,,,,,
LM-06-057,,J,65.75273,-16.94172,e,2006,10,4,464,192,50.7,61,-1.74656,10.667511,0.482753,,,,,,,,,,,,,,
LM-06-065,,J,65.57967,-16.74889,e,2006,10,4,439,190,,61,-1.04569,-27.915222,-1.182548,,,,,,,,,,,,,,
LM-06-092,,J,66.03421,-17.26278,e,2006,10,3,535,197,54.47,63,0.73192,33.635162,1.474079,,,,,,,,,,,,,,
LM-06-130,,J,65.75404,-16.89306,e,2006,10,4,471,199,52.64,60,-0.61128,-4.334045,-0.164741,,,,,,,,,,,,,,
LM-06-160,,J,65.61842,-17.17497,e,2006,10,5,457,178,50.93,62,-2.69744,22.095337,0.975999,,,,,,,,,,,,,,
LM-06-175,,J,65.58375,-16.73989,e,2006,10,5,435,185,52.21,60,-2.09184,-11.641144,-0.480129,,,,,,,,,,,,,,
LM-06-194,,J,65.58028,-16.75815,e,2006,10,5,443,176,51.69,60,-3.13806,16.634430,0.740297,,,,,,,,,,,,,,
LM-07-012,F,A,65.9372,-16.9883,e,2007,10,2,453,195,52.94,61,-0.59656,-22.619354,-1.165138,,,,,,,,,,,,,,
LM-07-025,F,A,65.58521,-16.74366,e,2007,10,1,477,192,51.41,60,-1.74508,24.108826,0.856630,,,,,,,,,,,,,,
LM-07-041,F,A,65.58265,-16.75878,e,2007,10,1,472,190,50.7,63,-1.38667,12.172852,0.340202,,,,,,,,,,,,,,
