Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	C5	08-007	TOX	25.67	0.06	-	Positive	Unchecked	Unknown	-	25.72	-	-	C5	SYBR Green I	 	0.34	2.13	None			29
255;0;0;255	C10	08-084	TOX	26.52	0.06	-	Positive	Unchecked	Unknown	-	26.56	-	-	C9	SYBR Green I	 	0.40	1.94	None			34
255;0;0;255	C9	08-084	TOX	26.60	0.06	-	Positive	Unchecked	Unknown	-	26.56	-	-	C9	SYBR Green I	 	0.41	1.96	None			33
255;0;0;255	A10	08-082	TOX	24.88	0.06	-	Positive	Unchecked	Unknown	-	24.84	-	-	A9	SYBR Green I	 	0.31	2.04	None			10
255;0;0;255	A9	08-082	TOX	24.80	0.06	-	Positive	Unchecked	Unknown	-	24.84	-	-	A9	SYBR Green I	 	0.32	2.09	None			9
255;0;0;255	H8	08-068	TOX	25.30	0.05	-	Positive	Unchecked	Unknown	-	25.34	-	-	H7	SYBR Green I	 	0.23	1.73	None			92
255;0;0;255	H7	08-068	TOX	25.37	0.05	-	Positive	Unchecked	Unknown	-	25.34	-	-	H7	SYBR Green I	 	0.23	1.73	None			91
255;0;0;255	G8	08-049	TOX	24.53	0.05	-	Positive	Unchecked	Unknown	-	24.57	-	-	G7	SYBR Green I	 	0.30	2.07	None			80
255;0;0;255	G7	08-049	TOX	24.60	0.05	-	Positive	Unchecked	Unknown	-	24.57	-	-	G7	SYBR Green I	 	0.32	2.13	None			79
255;0;0;255	D10	08-087	TOX	27.55	0.04	-	Positive	Unchecked	Unknown	-	27.58	-	-	D9	SYBR Green I	 	0.44	1.87	None			46
255;0;0;255	D9	08-087	TOX	27.60	0.04	-	Positive	Unchecked	Unknown	-	27.58	-	-	D9	SYBR Green I	 	0.44	1.85	None			45
255;0;0;255	A8	08-034	TOX	25.66	0.04	-	Positive	Unchecked	Unknown	-	25.64	-	-	A7	SYBR Green I	 	0.31	2.01	None			8
255;0;0;255	A7	08-034	TOX	25.61	0.04	-	Positive	Unchecked	Unknown	-	25.64	-	-	A7	SYBR Green I	 	0.30	1.98	None			7
255;0;0;255	G6	08-015	TOX	24.57	0.04	-	Positive	Unchecked	Unknown	-	24.60	-	-	G5	SYBR Green I	 	0.28	2.01	None			78
255;0;0;255	G5	08-015	TOX	24.62	0.04	-	Positive	Unchecked	Unknown	-	24.60	-	-	G5	SYBR Green I	 	0.35	2.20	None			77
255;0;0;255	E8	08-046	TOX	24.95	0.03	-	Positive	Unchecked	Unknown	-	24.93	-	-	E7	SYBR Green I	 	0.37	2.23	None			56
255;0;0;255	E7	08-046	TOX	24.91	0.03	-	Positive	Unchecked	Unknown	-	24.93	-	-	E7	SYBR Green I	 	0.37	2.23	None			55
255;0;0;255	D4	06-132	TOX	26.94	0.03	-	Positive	Unchecked	Unknown	-	26.96	-	-	D3	SYBR Green I	 	0.51	2.13	None			40
255;0;0;255	D3	06-132	TOX	26.98	0.03	-	Positive	Unchecked	Unknown	-	26.96	-	-	D3	SYBR Green I	 	0.52	2.15	None			39
255;0;0;255	B12	08-036	TOX	25.46	0.03	-	Positive	Unchecked	Unknown	-	25.48	-	-	B11	SYBR Green I	 	0.33	2.09	None			24
255;0;0;255	B11	08-036	TOX	25.50	0.03	-	Positive	Unchecked	Unknown	-	25.48	-	-	B11	SYBR Green I	 	0.32	2.07	None			23
255;0;0;255	F10	08-118	TOX	25.86	0.02	-	Positive	Unchecked	Unknown	-	25.85	-	-	F9	SYBR Green I	 	0.28	1.90	None			70
255;0;0;255	F9	08-118	TOX	25.83	0.02	-	Positive	Unchecked	Unknown	-	25.85	-	-	F9	SYBR Green I	 	0.27	1.87	None			69
255;0;0;255	E6	08-012	TOX	25.89	0.02	-	Positive	Unchecked	Unknown	-	25.88	-	-	E5	SYBR Green I	 	0.37	2.20	None			54
255;0;0;255	E5	08-012	TOX	25.86	0.02	-	Positive	Unchecked	Unknown	-	25.88	-	-	E5	SYBR Green I	 	0.37	2.22	None			53
255;0;0;255	F6	08-014	TOX	26.05	0.02	-	Positive	Unchecked	Unknown	-	26.07	-	-	F5	SYBR Green I	 	0.42	2.03	None			66
255;0;0;255	F5	08-014	TOX	26.08	0.02	-	Positive	Unchecked	Unknown	-	26.07	-	-	F5	SYBR Green I	 	0.35	2.14	None			65
255;0;0;255	H6	08-030	TOX	25.77	0.01	-	Positive	Unchecked	Unknown	-	25.76	-	-	H5	SYBR Green I	 	0.26	1.85	None			90
255;0;0;255	H5	08-030	TOX	25.75	0.01	-	Positive	Unchecked	Unknown	-	25.76	-	-	H5	SYBR Green I	 	0.33	2.10	None			89
255;0;0;255	F4	06-137	TOX	27.44	0.01	-	Positive	Unchecked	Unknown	-	27.43	-	-	F3	SYBR Green I	 	0.48	1.98	None			64
255;0;0;255	F3	06-137	TOX	27.42	0.01	-	Positive	Unchecked	Unknown	-	27.43	-	-	F3	SYBR Green I	 	0.50	2.02	None			63
255;0;0;255	C4	08-138	TOX	26.59	0.01	-	Positive	Unchecked	Unknown	-	26.58	-	-	C3	SYBR Green I	 	0.45	2.03	None			28
255;0;0;255	C3	08-138	TOX	26.57	0.01	-	Positive	Unchecked	Unknown	-	26.58	-	-	C3	SYBR Green I	 	0.48	2.15	None			27
255;0;0;255	F8	08-047	TOX	24.75	0.01	-	Positive	Unchecked	Unknown	-	24.76	-	-	F7	SYBR Green I	 	0.32	2.13	None			68
255;0;0;255	F7	08-047	TOX	24.77	0.01	-	Positive	Unchecked	Unknown	-	24.76	-	-	F7	SYBR Green I	 	0.33	2.16	None			67
255;0;0;255	B6	08-004	TOX	25.60	0.01	-	Positive	Unchecked	Unknown	-	25.60	-	-	B5	SYBR Green I	 	0.34	2.11	None			18
255;0;0;255	B5	08-004	TOX	25.59	0.01	-	Positive	Unchecked	Unknown	-	25.60	-	-	B5	SYBR Green I	 	0.34	2.12	None			17
255;0;0;255	B4	10-270	TOX	24.02	0.01	-	Positive	Unchecked	Unknown	-	24.03	-	-	B3	SYBR Green I	 	0.40	2.44	None			16
