Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	A10	06-146	TELO	15.48	0.40	-	Positive	Unchecked	Unknown	-	15.20	-	-	A9	SYBR Green I	 	1.50	4.75	None			10
255;0;0;255	A9	06-146	TELO	14.91	0.40	-	Positive	Unchecked	Unknown	-	15.20	-	-	A9	SYBR Green I	 	1.54	4.55	None			9
255;0;0;255	D10	06-149	TELO	11.75	0.35	-	Positive	Unchecked	Unknown	-	11.51	-	-	D9	SYBR Green I	 	1.15	3.89	None			46
255;0;0;255	D9	06-149	TELO	11.26	0.35	-	Positive	Unchecked	Unknown	-	11.51	-	-	D9	SYBR Green I	 	1.13	3.78	None			45
255;0;0;255	C8	06-138	TELO	17.00	0.30	-	Positive	Unchecked	Unknown	-	16.79	-	-	C7	SYBR Green I	 	1.46	5.67	None			32
255;0;0;255	C7	06-138	TELO	16.58	0.30	-	Positive	Unchecked	Unknown	-	16.79	-	-	C7	SYBR Green I	 	1.46	5.65	None			31
255;0;0;255	G12	06-164	TELO	15.53	0.25	-	Positive	Unchecked	Unknown	-	15.71	-	-	G11	SYBR Green I	 	1.69	4.67	None			84
255;0;0;255	G11	06-164	TELO	15.88	0.25	-	Positive	Unchecked	Unknown	-	15.71	-	-	G11	SYBR Green I	 	1.63	4.78	None			83
255;0;0;255	B2	06-196	TELO	14.30	0.24	-	Positive	Unchecked	Unknown	-	14.13	-	-	B1	SYBR Green I	 	1.55	4.87	None			14
255;0;0;255	B1	06-196	TELO	13.96	0.24	-	Positive	Unchecked	Unknown	-	14.13	-	-	B1	SYBR Green I	 	1.62	4.85	None			13
255;0;255;0	G2	GB	TELO	19.70	0.23	-	Positive	Unchecked	Positive control	-	20.01	-	-	F1	SYBR Green I	 	1.45	5.37	None			74
255;0;255;0	G1	GB	TELO	19.99	0.23	-	Positive	Unchecked	Positive control	-	20.01	-	-	F1	SYBR Green I	 	1.79	5.62	None			73
255;0;255;0	F2	GB	TELO	20.12	0.23	-	Positive	Unchecked	Positive control	-	20.01	-	-	F1	SYBR Green I	 	1.64	5.45	None			62
255;0;255;0	F1	GB	TELO	20.22	0.23	-	Positive	Unchecked	Positive control	-	20.01	-	-	F1	SYBR Green I	 	1.74	5.56	None			61
255;0;0;255	H8	06-145	TELO	14.08	0.21	-	Positive	Unchecked	Unknown	-	14.23	-	-	H7	SYBR Green I	 	1.46	4.75	None			92
255;0;0;255	H7	06-145	TELO	14.38	0.21	-	Positive	Unchecked	Unknown	-	14.23	-	-	H7	SYBR Green I	 	1.44	4.77	None			91
255;0;0;255	E6	08-140	TELO	14.45	0.21	-	Positive	Unchecked	Unknown	-	14.30	-	-	E5	SYBR Green I	 	1.63	4.52	None			54
255;0;0;255	E5	08-140	TELO	14.15	0.21	-	Positive	Unchecked	Unknown	-	14.30	-	-	E5	SYBR Green I	 	1.54	4.53	None			53
255;0;0;255	C12	06-156	TELO	14.43	0.18	-	Positive	Unchecked	Unknown	-	14.31	-	-	C11	SYBR Green I	 	1.62	4.50	None			36
255;0;0;255	C11	06-156	TELO	14.18	0.18	-	Positive	Unchecked	Unknown	-	14.31	-	-	C11	SYBR Green I	 	1.52	4.53	None			35
255;0;0;255	H10	06-153	TELO	14.44	0.16	-	Positive	Unchecked	Unknown	-	14.56	-	-	H9	SYBR Green I	 	1.53	4.58	None			94
255;0;0;255	H9	06-153	TELO	14.67	0.16	-	Positive	Unchecked	Unknown	-	14.56	-	-	H9	SYBR Green I	 	1.58	4.71	None			93
255;0;0;255	C4	08-117	TELO	13.49	0.16	-	Positive	Unchecked	Unknown	-	13.38	-	-	C3	SYBR Green I	 	1.53	4.40	None			28
255;0;0;255	C3	08-117	TELO	13.27	0.16	-	Positive	Unchecked	Unknown	-	13.38	-	-	C3	SYBR Green I	 	1.50	4.44	None			27
255;0;0;255	F6	06-114	TELO	17.24	0.14	-	Positive	Unchecked	Unknown	-	17.14	-	-	F5	SYBR Green I	 	1.55	5.70	None			66
255;0;0;255	F5	06-114	TELO	17.04	0.14	-	Positive	Unchecked	Unknown	-	17.14	-	-	F5	SYBR Green I	 	1.54	5.69	None			65
255;0;0;255	C6	08-137	TELO	15.51	0.11	-	Positive	Unchecked	Unknown	-	15.43	-	-	C5	SYBR Green I	 	1.69	4.69	None			30
255;0;0;255	C5	08-137	TELO	15.35	0.11	-	Positive	Unchecked	Unknown	-	15.43	-	-	C5	SYBR Green I	 	1.63	4.66	None			29
255;0;0;255	B4	08-116	TELO	14.47	0.11	-	Positive	Unchecked	Unknown	-	14.55	-	-	B3	SYBR Green I	 	1.51	4.81	None			16
255;0;0;255	B3	08-116	TELO	14.63	0.11	-	Positive	Unchecked	Unknown	-	14.55	-	-	B3	SYBR Green I	 	1.40	4.80	None			15
255;0;0;255	A4	08-113	TELO	15.50	0.11	-	Positive	Unchecked	Unknown	-	15.42	-	-	A3	SYBR Green I	 	1.59	4.62	None			4
255;0;0;255	A3	08-113	TELO	15.34	0.11	-	Positive	Unchecked	Unknown	-	15.42	-	-	A3	SYBR Green I	 	1.48	4.61	None			3
255;0;0;255	H12	06-177	TELO	15.16	0.10	-	Positive	Unchecked	Unknown	-	15.23	-	-	H11	SYBR Green I	 	1.40	4.29	None			96
255;0;0;255	H11	06-177	TELO	15.30	0.10	-	Positive	Unchecked	Unknown	-	15.23	-	-	H11	SYBR Green I	 	1.52	4.72	None			95
255;0;0;255	F10	06-151	TELO	15.52	0.10	-	Positive	Unchecked	Unknown	-	15.45	-	-	F9	SYBR Green I	 	1.31	5.02	None			70
255;0;0;255	F9	06-151	TELO	15.38	0.10	-	Positive	Unchecked	Unknown	-	15.45	-	-	F9	SYBR Green I	 	1.27	5.00	None			69
255;0;0;255	G4	08-124	TELO	11.69	0.10	-	Positive	Unchecked	Unknown	-	11.62	-	-	G3	SYBR Green I	 	1.26	4.37	None			76
255;0;0;255	G3	08-124	TELO	11.55	0.10	-	Positive	Unchecked	Unknown	-	11.62	-	-	G3	SYBR Green I	 	1.21	4.32	None			75
255;0;0;255	F12	06-162	TELO	17.65	0.08	-	Positive	Unchecked	Unknown	-	17.71	-	-	F11	SYBR Green I	 	1.62	5.54	None			72
255;0;0;255	F11	06-162	TELO	17.76	0.08	-	Positive	Unchecked	Unknown	-	17.71	-	-	F11	SYBR Green I	 	1.70	5.63	None			71
