Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	C6	08-137	TOX	25.83	0.43	-	Positive	Unchecked	Unknown	-	25.53	-	-	C5	SYBR Green I	 	0.35	2.19	None			30
255;0;0;255	C5	08-137	TOX	25.22	0.43	-	Positive	Unchecked	Unknown	-	25.53	-	-	C5	SYBR Green I	 	0.28	2.02	None			29
255;0;0;255	B6	08-133	TOX	25.95	0.40	-	Positive	Unchecked	Unknown	-	25.67	-	-	B5	SYBR Green I	 	0.40	2.14	None			18
255;0;0;255	B5	08-133	TOX	25.39	0.40	-	Positive	Unchecked	Unknown	-	25.67	-	-	B5	SYBR Green I	 	0.31	2.07	None			17
255;0;0;255	B10	06-147	TOX	24.50	0.38	-	Positive	Unchecked	Unknown	-	24.77	-	-	B9	SYBR Green I	 	0.20	1.70	None			22
255;0;0;255	B9	06-147	TOX	25.04	0.38	-	Positive	Unchecked	Unknown	-	24.77	-	-	B9	SYBR Green I	 	0.15	1.43	None			21
255;0;0;255	F10	06-151	TOX	24.32	0.35	-	Positive	Unchecked	Unknown	-	24.57	-	-	F9	SYBR Green I	 	0.22	1.82	None			70
255;0;0;255	F9	06-151	TOX	24.82	0.35	-	Positive	Unchecked	Unknown	-	24.57	-	-	F9	SYBR Green I	 	0.24	1.55	None			69
255;0;0;255	B4	08-116	TOX	25.69	0.21	-	Positive	Unchecked	Unknown	-	25.84	-	-	B3	SYBR Green I	 	0.29	1.99	None			16
255;0;0;255	B3	08-116	TOX	25.99	0.21	-	Positive	Unchecked	Unknown	-	25.84	-	-	B3	SYBR Green I	 	0.39	1.92	None			15
255;0;0;255	C4	08-117	TOX	25.76	0.21	-	Positive	Unchecked	Unknown	-	25.62	-	-	C3	SYBR Green I	 	0.28	1.93	None			28
255;0;0;255	C3	08-117	TOX	25.47	0.21	-	Positive	Unchecked	Unknown	-	25.62	-	-	C3	SYBR Green I	 	0.26	1.87	None			27
